project_code,title,area,first_seen_at,last_seen_at
PIFM5520-2026,ASSOCIAÇÃO ENTRE A AUTOPERCEPÇÃO DA SAÚDE E  FATORES COMPORTAMENTAIS EM MULHERES PARTICIPANTES DO VIGITEL,Saúde Coletiva,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVFM5453-2026,IMPACTO DA SUTURA FARPADA VERSUS CONVENCIONAL NA CICATRIZAÇÃO UTERINA E FORMAÇÃO DE NICHOS APÓS HISTEROTOMIA: UMA REVISÃO SISTEMÁTICA,Medicina,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVCB4755-2026,"Caracterização epidemiológica do vírus Oropouche no estado de Alagoas, Brasil.",Saúde Coletiva,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVCB4895-2026,Desenvolvimento Biotecnológico de Antígenos para o Imunodiagnóstico do Vírus Oropouche,Biotecnologia,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVCB5187-2026,"Investigação da ocorrência de infecção pregressa por chikungunya em pacientes com
linfedema / linfangite crônica de membros inferiores ou superiores atendidos em um
Hospital Prof. Alberto Antunes de Maceió, Alagoas",Microbiologia,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVCB5015-2026,EFEITOS MOLECULARES DE MICROPLÁSTICOS EM PLACENTAS HUMANAS,Morfologia,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVCB5136-2026,Efeitos de microplásticos de poliestireno sobre viabilidade e proliferação de células endoteliais placentárias humanas,Morfologia,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PICB5357-2026,"Diversidade da funga associada a manguezais em Maceió  AL e seu potencial
biotecnológico",Microbiologia,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVCB4945-2026,Conservação com inovação e arte: Novos horizontes para o Mar à vista!,Ecologia,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVCB4975-2026,Educação Ambiental Interdisciplinar: narrativas participativas e avaliação de impacto,Ecologia,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVCB5585-2026,FENÓTIPO CRANIOFACIAL E ALTERAÇÕES OROFACIAIS NA SÍNDROME DE TURNER: REVISÃO SISTEMÁTICA,Odontologia,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVCB5121-2026,Estudo de associação de fatores genéticos e socioeconômicos com a hanseníase em uma população de Alagoas - FASE 2,Genética,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVCB5214-2026,Impacto de Visitas ao Laboratório de Anatomia: Comparação de Estudos Transversais com Alunos da Educação Básica,Medicina,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVCB5353-2026,"INVESTIGAÇÃO INTEGRATIVA DOS ALVOS REGULATÓRIOS DOS MICRORNAS miR-31-5p, miR-10b-5p, miR-142-5p E miR-451a NA EPILEPTOGÊNESE EM MODELO EXPERIMENTAL DE EPILEPSIA DO LOBO TEMPORAL",Genética,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVCB4933-2026,"TRATAMENTOS PARA SINTOMAS DA PERIMENOPAUSA: SÍNTESE DE EVIDÊNCIAS SOBRE SINTOMAS VASOMOTORES, SONO, SINTOMAS EMOCIONAIS E RECOMENDAÇÕES CLÍNICAS",Medicina,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVCB4713-2026,TEMAS CONTROVERSOS NA FORMAÇÃO INICIAL DE PROFESSORES DE CIÊNCIAS E BIOLOGIA: PRÁTICA PEDAGÓGICA E IMPACTOS FORMATIVOS,Educação,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVCB4791-2026,INTELIGÊNCIA ARTIFICIAL E PERSONALIZAÇÃO DO ENSINO DE CIÊNCIAS E BIOLOGIA NA EDUCAÇÃO BÁSICA,Educação,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVCB5335-2026,"Ação farmacológica do uvaol na resposta inflamatória e fibrose pulmonar: abordagens in vivo, in vitro e in silico",Farmacologia,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVCB5474-2026,Própolis vermelha brasileira e vírus Chikungunya: Investigação de compostos com atividade biológica dual antiviral/anti-inflamatória,Farmácia,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVCB5433-2026,Micomedicina aplicada à dermatologia: Ensaio clínico fase I de dermocosmético à base de cogumelo medicinal e própolis vermelha de Alagoas como alternativa contra dermatoses,Microbiologia,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVCB5660-2026,Biotecnologia aplicada ao desenvolvimento de dermocosmético micomedicinal e com própolis vermelha de Alagoas,Microbiologia,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVCB4702-2026,Preditores morfométricos da inclinação do plano de Bolton: análise de suturas craniofaciais em crânios secos por meio de estudo transversal.,Morfologia,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVCB5049-2026,Avaliação do potencial pro-resolutivo do Uvaol na atividade funcional de macrófagos estimulados in vitro,Biologia Geral,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVCB5221-2026,Indicadores socioeconômicos e custos das fraturas faciais na perspectiva do SUS: um estudo ecológico espaço-temporal,Odontologia,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVCB5067-2026,"Efeitos de microplásticos sobre o crescimento, nodulação e respostas fisiológicas de plantas jovens de Inga Edulis (Mart.) (Fabaceae)",Botânica,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVCB5331-2026,Caracterização da transição epitélio-mesenquimal em modelos de cultivo celular para estudos do câncer,Farmacologia,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVCB5064-2026,"Padronização experimental do cultivo do camarão Red-Cherry NEOCARIDINA DAVIDI (Bouvier, 1904) visando sua aplicação como organismo-modelo na Universidade Federal de Alagoas",Zoologia,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVCB5359-2026,Educação Sexual e Ensino de Ciências na EJA: o que dizem os livros didáticos do PNLD 2026?,Educação,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVCB4802-2026,BIODIVERSIDADE DA FAUNA EM PLACAS DE RECRUTAMENTO INSTALADAS EM UMA REGIÃO ESTUARINA DO NORDESTE BRASILEIRO,Zoologia,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVCB4978-2026,Estratégias mitocondriais e farmacológicas para neuroproteção em modelos de Esclerose Lateral Amiotrófica em Drosophila melanogaster,Biologia Geral,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVCB4985-2026,Estabelecimento e caracterização de modelos epilépticos em Drosophila melanogaster,Biologia Geral,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVCB5594-2026,Avaliações metabólicas em modelo roedor de síndrome metabólica: potencial terapêutico do 3-aminotriazole,Farmacologia,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVCB5623-2026,Desenvolvimento de potenciais nutracêuticos probióticos a base de Kombucha: caracterização preliminar e potenciais repercussões antioxidantes,Biotecnologia,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVCB5372-2026,"ESTUDO DO EXTRATO, FRAÇÕES E FLAVONOIDES ISOLADOS DAS FLORES DE GYMNANTHEMUM AMYGDALINUM EM LINHAGEM DE GLIOBLASTOMA HUMANO U251.",Farmácia,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVCB5068-2026,AVALIAÇÃO DOS EFEITOS DE DERIVADOS FENETILAMÍNICOS EM MODELOS DE ESTRESSE CELULAR INDUZIDO POR CORTICOSTERONA E PERÓXIDO DE HIDROGÊNIO EM CÉLULAS SH-SY5Y,Farmacologia,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVCB4785-2026,Composição e dinâmica espaço-temporal de aves limícolas migratórias em áreas urbanas de Maceió e da APA Costa dos Corais.,Ecologia,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVCB5458-2026,O que sabemos sobre as libélulas: lacunas do conhecimento na ordem Odonata,Ecologia,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVCB5461-2026,Jogos digitais no Ensino de Biologia: reprodutibilidade e acesso aos jogos e suas ferramentas de criação,Biologia Geral,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVCB5083-2026,Análise da incidência da doença de Chagas em idosos residentes no estado de Alagoas.,Saúde Coletiva,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVCB5038-2026,Saúde cardiovascular de pessoas transgêneras em processo de hormonização atendidas pelos serviços especializados na atenção à saúde da população transgênera no Estado de Alagoas,Morfologia,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVCB4709-2026,Potencial para bioinovação de leveduras não convencionais oriundas de ecossistemas alagoano,Microbiologia,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVCB4708-2026,Avaliação de leveduras isoladas de sedimento de manguezais quanto à promoção do crescimento vegetal,Microbiologia,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVCB5103-2026,GESTOXO-AL: Gestão estratégica integrada para a vigilância e assistência à toxoplasmose em Alagoas - FASE 1,Parasitologia,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVCB5110-2026,Farmacogenômica da resposta ao Praziquantel e o impacto no tratamento da esquistossomose na população alagoana: FASE 3 - Perfil genético-epidemiológico de pacientes diagnosticados e tratados para esquistossomose em áreas endêmicas de Alagoas,Genética,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVCB5543-2026,DiagnOH - Plataforma de Diagnóstico para a Saúde Única - FASE 2: Avanços no diagnóstico molecular por amplificação isotérmica aplicado a patógenos zoonóticos,Parasitologia,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVCB5079-2026,Extremos climáticos e a organização estrutural de redes ecológicas de peixes em estuários tropicais monitorados pelo PELD APA Costa dos Corais,Ecologia,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVCB5229-2026,ANÁLISE DA DISPENSAÇÃO DE AGONISTAS DO RECEPTOR DE GLP-1 NO BRASIL: TENDÊNCIAS TEMPORAIS E PERFIL DEMOGRÁFICO DOS USUÁRIOS,Saúde Coletiva,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVCB4778-2026,Efeitos da exposição ao crack em Galleria mellonella: desenvolvimento de um novo modelo pré-clínico invertebrado no estudo de substâncias psicoativas,Fisiologia,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVCB4786-2026,Exposição ao cigarro eletrônico em Galleria mellonella: desenvolvimento e validação de um modelo pré-clínico alternativo para estudos toxicológicos,Fisiologia,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVCB4877-2026,PREVALÊNCIA DE SEPTOS NO SEIO MAXILAR EM TOMOGRAFIAS COMPUTADORIZADAS DE FEIXE CÔNICO: UMA REVISÃO SISTEMÁTICA COM METANÁLISE,Odontologia,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVCB5576-2026,Própolis Vermelha integrada aos Cuidados em Saúde dos pacientes com Epidermólise Bolhosa em Alagoas: estudo clínico-ambulatorial e caracterização do microbioma cutâneo e intestinal,Microbiologia,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVCB5515-2026,"Própolis Vermelha integrada aos Cuidados em Saúde dos pacientes com Epidermólise Bolhosa em Alagoas: avaliação de produtos dérmicos tópicos com potencial antimicrobiano, antibiofilme e cicatrizante",Microbiologia,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVCB5538-2026,Própolis Vermelha integrada aos Cuidados em Saúde dos pacientes com Epidermólise Bolhosa em Alagoas: atividade citotóxica de curativos dérmicos desenvolvidos  com própolis vermelha sobre células epiteliais e macrófagos in vitro,Medicina,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVCB4954-2026,Integração de conservation culturomics e conhecimento tradicional para gestão de unidades de conservação.,Ecologia,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVCB4967-2026,Sistematização da Biodiversidade da APACC e Desenvolvimento de Recursos Educativos,Ecologia,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVCB4887-2026,"Poluição por Plástico no Arquipélago de São Pedro e São Paulo: Estabelecendo Linhas de Base, Avaliando a
Evolução da Contaminação e Integrando Estratégias de Mitigação para a Amazônia Azul",Ecologia,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVCB4849-2026,Taxonomia integrativa para estudar anfíbios e répteis neotropicais,Zoologia,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVCB5188-2026,Inovação e acessibilidade na exposição zoológica itinerante: democratizando o acesso a ciência,Zoologia,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVCB5196-2026,GALLERIA MELLONELLA: um modelo experimental alternativo para estudos da interação patógeno-hospedeiro,Imunologia,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVCB5614-2026,Atributos bioecológicos de bivalves explotados por marisqueiras: o litoral da APACC,Ecologia,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVCB5651-2026,A gestão em áreas protegidas no Brasil – Parte II: o componente sociocultural,Ecologia,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVCB5065-2026,Contaminação do solo por enteroparasitos e sua associação com fatores socioambientais nas mesorregiões de Alagoas: uma abordagem em Saúde Única,Parasitologia,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVCB5363-2026,"Malacologia Médica em Alagoas: Diversidade, Distribuição e Implicações na Saúde Pública.",Parasitologia,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
PVCB5368-2026,Monitoramento de esquistossomose em áreas endêmicas de Alagoas: validação de metodologias inovadoras,Parasitologia,2026-09-04T05:11:57+00:00,2026-09-04T05:11:57+00:00
